review_rank_global,review_rank_project,review_bucket,review_reason,project_id,project_name,list_type,category,quadrant,quadrant_label,review_priority,scale_video_count_tier,scale_video_count_best,scale_best_hashtag,likely_reach_tier,raw_reach_tier,inclusive_reach_tier,reach_noise_risk,low_relevance_play_ratio_project,likely_play_ratio_project,video_id,web_url,author_unique_id,source_term,term_script,ceiling_class,quality_label_auto,quality_score_auto,quality_reasons_auto,matched_terms_auto,core_matched_terms_auto,negative_matched_terms_auto,stats_play_count,stats_digg_count,stats_comment_count,stats_share_count,stats_collect_count,hashtags,desc,manual_relevance,manual_noise_type,manual_language_reach,manual_audience_proxy,manual_notes
1,1,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7178939278246956331,https://www.tiktok.com/@shelterinstitute/video/7178939278246956331,shelterinstitute,timberframe,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,timberframe,timberframe,,21200000,105200,201,1198,4838,timberframe;timberframing;housebuilding;homebuilding;woodworking;shelterinstitute;construction;homeownership;satisfying;explore;handmade;Home,Scarf joint peg driving #timberframe #timberframing #housebuilding #homebuilding #woodworking #shelterinstitute #construction #homeownership #satisfying #explore #handmade #home,,,,,
2,2,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7236440586453011738,https://www.tiktok.com/@yasminvonroon/video/7236440586453011738,yasminvonroon,chinesearchitecture,latin,ceiling_capped,likely_relevant,6,source_hit;project_term_hits:1;core_term_hits:1;china_context;cjk_desc,chinesearchitecture,chinesearchitecture,,7400000,537400,3836,36200,48100,chongqing;china;chinalife;foreignerinchina;重庆;中国;外国人;外国人在中国;viral,chinese architecture is literally on another level 😱 🔥🇨🇳☝️ #chongqing #china #chinalife #foreignerinchina #重庆 #中国 #外国人 #外国人在中国 #viral,,,,,
3,3,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7546593395041389855,https://www.tiktok.com/@user40477079454357/video/7546593395041389855,user40477079454357,古建,cjk,ceiling_capped,likely_relevant,6,source_hit;project_term_hits:1;core_term_hits:1;china_context;cjk_desc,古建,古建,,3300000,184100,855,3438,8992,文化;中国文化;中国传统;清朝历史;北京;状元;清代家具;中国古建筑;乾隆;古代;地主,清代豪门德春府第九代继承人，小少爷也成为孤苦老人，最大心愿就是把老宅修缮重建当年辉煌#文化 #中国文化 #中国传统#清朝历史 #北京 #状元 #清代家具 #清代家具 #中国古建筑 #乾隆 #古代 #地主,,,,,
4,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7620827964845919520,https://www.tiktok.com/@suny04322/video/7620827964845919520,suny04322,chinesearchitecture,latin,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,20500000,2900000,9263,393600,306400,fyp;chinatravel;china;beautiful;zhangjiajie,中國湖南張家界天門山 mount tianmen in zhangjiajie Hunan China #fyp #chinatravel #China #beautiful #zhangjiajie,,,,,
5,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7620011585817283848,https://www.tiktok.com/@hanjinping/video/7620011585817283848,hanjinping,chinesearchitecture,latin,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,18000000,1300000,18800,102100,118800,china;🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳;你好china🇨🇳;超级工程;新能源;油转电,Electric and new energy sources.#china #🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳 #你好CHINA🇨🇳#超级工程#新能源#油转电,,,,,
6,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7591831028256296195,https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,ishalcncwoodart_official,木结构,cjk,exhausted,low_relevance,0,,,,,83300000,1400000,9069,68400,86500,foruyou;treanding;asmr;diycrafts;craftsmanship,Best CNC router machine for wood carving V #foruyou #treanding #asmr #diycrafts #Craftsmanship,,,,,
7,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7487163492831907118,https://www.tiktok.com/@jyd_models/video/7487163492831907118,jyd_models,chinesearchitecture,latin,ceiling_capped,low_relevance,0,,,,,36000000,2100000,6076,48100,118600,architecturalmodel;scalemodel;miniaturemodel;artist;miniature;architecture;building;art;miniatures,The perfect combination of art and architecture.Shenzhen landmark architectural model. #architecturalmodel #scalemodel #miniaturemodel #artist #miniature #architecture #building #art #miniatures,,,,,
8,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7631412594758126879,https://www.tiktok.com/@marinerpoet/video/7631412594758126879,marinerpoet,木结构,cjk,exhausted,low_relevance,0,,,,,30400000,1800000,14400,41400,98200,uniquegifts;handmadegifts;woodcraft;relaxing;aesthetic,What do you think ?#uniquegifts #handmadegifts #woodcraft #relaxing #aesthetic,,,,,
9,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7567053398458060063,https://www.tiktok.com/@marinerpoet/video/7567053398458060063,marinerpoet,木结构,cjk,exhausted,low_relevance,0,,,,,24700000,1100000,6846,26700,68600,handmadegifts;oceanlover;roomdecor;automata;woodart,"Handmade motion, born from the sea. This wooden automaton is handcrafted from North American walnut and European beech — two woods chosen for their warmth, strength, and natural beauty. Inspired by the quiet grace of ocean life, each piece turns movement into…",,,,,
10,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,16173,timberframe,middle_40_70pct_reach,high_20_40pct_reach,middle_40_70pct_reach,high,0.7321,0.1052,7560486041916853559,https://www.tiktok.com/@3d.mystery/video/7560486041916853559,3d.mystery,chinesearchitecture,latin,ceiling_capped,low_relevance,0,,,,,22300000,1900000,3608,25000,121400,bridge;architecture;fyp,Cars above and trains below bridge #bridge #architecture #fyp,,,,,
