project_id,project_name,project_name_en,list_type,category,hashtag_terms_total,terms_clean,terms_noisy,terms_unavailable_or_failed,scale_data_state,scale_video_count_best,scale_video_count_tier,scale_best_hashtag,scale_best_challenge_id,scale_best_challenge_title,scale_video_count_median_usable,scale_video_count_max_clean,scale_video_count_max_noisy,usable_terms,unavailable_terms,scale_note
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,6,4,2,0,clean,640926,head,chinesenewyear,322876,chinesenewyear,427754,640926,116057,"[{""tag"": ""春节"", ""status"": ""clean"", ""video_count"": 21274, ""challenge_id"": ""12038""}, {""tag"": ""lunarnewyear"", ""status"": ""clean"", ""video_count"": 448405, ""challenge_id"": ""5724991""}, {""tag"": ""cny"", ""status"": ""clean"", ""video_count"": 407104, ""challenge_id"": ""4552549""}, {""tag"": ""chinesenewyear"", ""status"": ""clean"", ""video_count"": 640926, ""challenge_id"": ""322876""}, {""tag"": ""新年"", ""status"": ""noisy"", ""video_count"": 116057, ""challenge_id"": ""46315629""}, {""tag"": ""过年"", ""status"": ""noisy"", ""video_count"": 14065, ""challenge_id"": ""1557667714956289""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,6,2,4,0,clean,16140,mid,gongfutea,1628650745024518,gongfutea,8110,16140,2900,"[{""tag"": ""炒茶"", ""status"": ""clean"", ""video_count"": 81, ""challenge_id"": ""1701883789144069""}, {""tag"": ""gongfutea"", ""status"": ""clean"", ""video_count"": 16140, ""challenge_id"": ""1628650745024518""}, {""tag"": ""功夫茶"", ""status"": ""noisy"", ""video_count"": 2900, ""challenge_id"": ""1577359542072334""}, {""tag"": ""制茶"", ""status"": ""noisy"", ""video_count"": 36, ""challenge_id"": ""7005173965668909057""}, {""tag"": ""茶艺"", ""status"": ""noisy"", ""video_count"": 2464, ""challenge_id"": ""1571444261536770""}, {""tag"": ""揉捻"", ""status"": ""noisy"", ""video_count"": 10, ""challenge_id"": ""7170963692857589787""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
3,太极拳,Taijiquan,RL,传统体育/养生,4,4,0,0,clean,210873,head,taichi,6768,taichi,19132,210873,,"[{""tag"": ""太极"", ""status"": ""clean"", ""video_count"": 9126, ""challenge_id"": ""55824360""}, {""tag"": ""太极拳"", ""status"": ""clean"", ""video_count"": 10363, ""challenge_id"": ""1563472762027010""}, {""tag"": ""taichi"", ""status"": ""clean"", ""video_count"": 210873, ""challenge_id"": ""6768""}, {""tag"": ""taijiquan"", ""status"": ""clean"", ""video_count"": 27901, ""challenge_id"": ""1624421230501894""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,6,5,1,0,clean,1302,long_tail,wangkang,1638409788145666,wangkang,191,1302,2008,"[{""tag"": ""送王船"", ""status"": ""clean"", ""video_count"": 698, ""challenge_id"": ""1681487454727169""}, {""tag"": ""wangkang"", ""status"": ""clean"", ""video_count"": 1302, ""challenge_id"": ""1638409788145666""}, {""tag"": ""boatburning"", ""status"": ""clean"", ""video_count"": 65, ""challenge_id"": ""1648473369351174""}, {""tag"": ""ongchun"", ""status"": ""clean"", ""video_count"": 19, ""challenge_id"": ""1682488155196418""}, {""tag"": ""wangchuan"", ""status"": ""clean"", ""video_count"": 191, ""challenge_id"": ""7126780633577652251""}, {""tag"": ""王船"", ""status"": ""noisy"", ""video_count"": 2008, ""challenge_id"": ""1626371729658882""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,3,1,2,0,clean,256,near_invisible,sowarigpa,1666210580169733,sowarigpa,256,256,398,"[{""tag"": ""sowarigpa"", ""status"": ""clean"", ""video_count"": 256, ""challenge_id"": ""1666210580169733""}, {""tag"": ""tibetanhealing"", ""status"": ""noisy"", ""video_count"": 156, ""challenge_id"": ""1676013548670982""}, {""tag"": ""tibetanmedicine"", ""status"": ""noisy"", ""video_count"": 398, ""challenge_id"": ""1663743351402502""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,5,5,0,0,clean,2636,long_tail,chinesecalendar,39721144,chinesecalendar,1032,2636,,"[{""tag"": ""24solarterms"", ""status"": ""clean"", ""video_count"": 1032, ""challenge_id"": ""1708951460075526""}, {""tag"": ""二十四节气"", ""status"": ""clean"", ""video_count"": 1346, ""challenge_id"": ""1668652289864706""}, {""tag"": ""chinesecalendar"", ""status"": ""clean"", ""video_count"": 2636, ""challenge_id"": ""39721144""}, {""tag"": ""节气"", ""status"": ""clean"", ""video_count"": 663, ""challenge_id"": ""1666789629222918""}, {""tag"": ""solarterms"", ""status"": ""clean"", ""video_count"": 380, ""challenge_id"": ""1666264978353157""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,4,2,2,0,clean,304,near_invisible,珠算,1619958943863809,珠算,191,304,24220,"[{""tag"": ""zhusuan"", ""status"": ""clean"", ""video_count"": 79, ""challenge_id"": ""7014647021952991233""}, {""tag"": ""珠算"", ""status"": ""clean"", ""video_count"": 304, ""challenge_id"": ""1619958943863809""}, {""tag"": ""abacus"", ""status"": ""noisy"", ""video_count"": 24220, ""challenge_id"": ""3883459""}, {""tag"": ""算盘"", ""status"": ""noisy"", ""video_count"": 332, ""challenge_id"": ""1579038120789005""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),3,3,0,0,clean,315,near_invisible,布袋戏,1563734879977474,布袋戏,20,315,,"[{""tag"": ""掌中戏"", ""status"": ""clean"", ""video_count"": 1, ""challenge_id"": ""7568476999526809607""}, {""tag"": ""budaixi"", ""status"": ""clean"", ""video_count"": 20, ""challenge_id"": ""7021558273933312005""}, {""tag"": ""布袋戏"", ""status"": ""clean"", ""video_count"": 315, ""challenge_id"": ""1563734879977474""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,4,2,0,2,clean,17,near_invisible,hezhe,1647280804093954,hezhe,9,17,,"[{""tag"": ""赫哲"", ""status"": ""clean"", ""video_count"": 1, ""challenge_id"": ""7208650398097326085""}, {""tag"": ""hezhe"", ""status"": ""clean"", ""video_count"": 17, ""challenge_id"": ""1647280804093954""}]","[""yimakan"", ""伊玛堪""]","hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,3,2,1,0,clean,935,near_invisible,piying,72920339,piying,574,935,94,"[{""tag"": ""皮影戏"", ""status"": ""clean"", ""video_count"": 213, ""challenge_id"": ""1565354321979394""}, {""tag"": ""piying"", ""status"": ""clean"", ""video_count"": 935, ""challenge_id"": ""72920339""}, {""tag"": ""皮影"", ""status"": ""noisy"", ""video_count"": 94, ""challenge_id"": ""1681663664143362""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
