project_id,project_name,list_type,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
1,春节,RL,1343,900,115,328,0.6701,0.0856,0.2442,4.214,0,0.0,148,0.1102,1190216794,85611658,510035498,37300000,14000000,71900000,"{""china_context"": 789, ""cjk_desc"": 493, ""core_term_hits:1"": 585, ""core_term_hits:2"": 295, ""generic_source_only"": 142, ""project_term_hits:1"": 585, ""project_term_hits:2"": 295, ""source_hit"": 892}",{}
2,中国传统制茶技艺及其相关习俗,RL,1206,473,172,561,0.3922,0.1426,0.4652,2.603,69,0.0572,0,0.0,143086500,99348053,345274036,14500000,24300000,32800000,"{""china_context"": 514, ""cjk_desc"": 533, ""core_term_hits:1"": 318, ""negative_term_hits:1"": 61, ""project_term_hits:1"": 428, ""project_term_hits:2"": 99, ""project_term_hits:3"": 66, ""source_hit"": 539}","{""boba"": 16, ""bubbletea"": 7, ""matchalatte"": 1, ""milktea"": 13, ""teapet"": 26, ""teashop"": 9, ""奶茶"": 10}"
3,太极拳,RL,525,377,75,73,0.7181,0.1429,0.139,4.408,0,0.0,0,0.0,248769168,27410996,70282524,33400000,10800000,39800000,"{""china_context"": 151, ""cjk_desc"": 205, ""core_term_hits:1"": 302, ""core_term_hits:2"": 107, ""project_term_hits:1"": 302, ""project_term_hits:2"": 107, ""project_term_hits:3"": 32, ""source_hit"": 373}",{}
4,送王船,RL,874,145,144,585,0.1659,0.1648,0.6693,1.373,0,0.0,0,0.0,41973209,21238913,260816757,9100000,8300000,20300000,"{""china_context"": 82, ""cjk_desc"": 284, ""core_term_hits:1"": 230, ""empty_desc"": 26, ""project_term_hits:1"": 230, ""project_term_hits:2"": 9, ""source_hit"": 239, ""zero_play"": 93}",{}
5,藏医药浴法,RL,746,123,44,579,0.1649,0.059,0.7761,1.375,0,0.0,0,0.0,1356247,8463698,296493684,282900,3300000,38400000,"{""china_context"": 301, ""cjk_desc"": 203, ""core_term_hits:1"": 86, ""core_term_hits:2"": 41, ""empty_desc"": 34, ""project_term_hits:1"": 86, ""project_term_hits:2"": 41, ""source_hit"": 125}",{}
6,二十四节气,RL,849,191,56,602,0.225,0.066,0.7091,1.627,0,0.0,0,0.0,31700849,21447746,295633212,3800000,5900000,38700000,"{""china_context"": 263, ""cjk_desc"": 275, ""core_term_hits:1"": 117, ""core_term_hits:2"": 79, ""empty_desc"": 52, ""project_term_hits:1"": 117, ""project_term_hits:2"": 79, ""source_hit"": 188}",{}
7,中国珠算,RL,618,218,35,365,0.3528,0.0566,0.5906,1.901,0,0.0,0,0.0,283844719,11571863,212066267,51000000,3700000,35800000,"{""china_context"": 81, ""cjk_desc"": 260, ""core_term_hits:1"": 212, ""core_term_hits:2"": 11, ""empty_desc"": 32, ""project_term_hits:1"": 212, ""project_term_hits:2"": 11, ""source_hit"": 216}",{}
8,福建木偶戏,GSP,865,61,66,738,0.0705,0.0763,0.8532,0.803,8,0.0092,0,0.0,1436465,72391598,549493279,761500,28200000,62900000,"{""china_context"": 294, ""cjk_desc"": 234, ""core_term_hits:1"": 58, ""core_term_hits:2"": 9, ""empty_desc"": 43, ""project_term_hits:1"": 58, ""project_term_hits:2"": 9, ""source_hit"": 61}","{""chineseshadowpuppetry"": 1, ""shadowpuppetry"": 7, ""皮影"": 2}"
9,赫哲族伊玛堪,USL,656,62,39,555,0.0945,0.0595,0.846,0.727,0,0.0,0,0.0,15530401,5205588,296401978,3800000,2000000,22000000,"{""china_context"": 51, ""cjk_desc"": 256, ""core_term_hits:1"": 61, ""core_term_hits:2"": 2, ""empty_desc"": 43, ""project_term_hits:1"": 61, ""project_term_hits:2"": 2, ""source_hit"": 63}",{}
10,中国皮影戏,RL,728,163,78,487,0.2239,0.1071,0.669,1.76,15,0.0206,0,0.0,13264017,65544451,735305833,3300000,28200000,62900000,"{""china_context"": 218, ""cjk_desc"": 259, ""core_term_hits:1"": 112, ""core_term_hits:2"": 73, ""empty_desc"": 24, ""project_term_hits:1"": 112, ""project_term_hits:2"": 73, ""source_hit"": 161}","{""handshadow"": 11, ""shadowhand"": 6}"
11,麦西热甫,USL,542,96,36,410,0.1771,0.0664,0.7565,1.022,0,0.0,0,0.0,145911002,2625842,261767173,66700000,928100,49000000,"{""china_context"": 66, ""cjk_desc"": 114, ""core_term_hits:1"": 112, ""core_term_hits:2"": 2, ""empty_desc"": 35, ""project_term_hits:1"": 112, ""project_term_hits:2"": 2, ""source_hit"": 106}",{}
12,中国水密隔舱福船制造技艺,USL,712,243,35,434,0.3413,0.0492,0.6096,1.64,0,0.0,0,0.0,302908225,7172718,447983288,48200000,4200000,88500000,"{""china_context"": 70, ""cjk_desc"": 221, ""core_term_hits:1"": 245, ""empty_desc"": 37, ""project_term_hits:1"": 245, ""project_term_hits:2"": 1, ""source_hit"": 245, ""zero_play"": 33}",{}
13,中国木活字印刷术,USL,824,65,97,662,0.0789,0.1177,0.8034,0.697,0,0.0,138,0.1675,116544338,47421282,811610440,47700000,7500000,90100000,"{""china_context"": 113, ""cjk_desc"": 295, ""core_term_hits:1"": 70, ""core_term_hits:2"": 31, ""generic_source_only"": 138, ""project_term_hits:1"": 70, ""project_term_hits:2"": 31, ""source_hit"": 102}",{}
14,京剧,RL,552,366,99,87,0.663,0.1793,0.1576,4.491,0,0.0,114,0.2065,332608249,54956328,189780385,57700000,7400000,36500000,"{""china_context"": 378, ""cjk_desc"": 187, ""core_term_hits:1"": 294, ""core_term_hits:2"": 141, ""generic_source_only"": 99, ""project_term_hits:1"": 294, ""project_term_hits:2"": 141, ""source_hit"": 420}",{}
15,中医针灸,RL,494,368,22,104,0.7449,0.0445,0.2105,3.96,0,0.0,0,0.0,329199475,37316786,344711262,34700000,15300000,145100000,"{""china_context"": 132, ""cjk_desc"": 83, ""core_term_hits:1"": 275, ""core_term_hits:2"": 89, ""project_term_hits:1"": 275, ""project_term_hits:2"": 89, ""project_term_hits:3"": 23, ""source_hit"": 358}",{}
16,黎族传统纺染织绣技艺,USL,971,82,121,768,0.0844,0.1246,0.7909,0.839,1,0.001,0,0.0,17747302,31017726,382571461,5400000,4500000,53800000,"{""china_context"": 253, ""cjk_desc"": 390, ""core_term_hits:1"": 50, ""empty_desc"": 54, ""project_term_hits:1"": 81, ""project_term_hits:2"": 5, ""source_hit"": 78, ""zero_play"": 23}","{""restaurant"": 1}"
17,中国木拱桥传统营造技艺,USL,655,191,25,439,0.2916,0.0382,0.6702,1.379,0,0.0,0,0.0,7005393,855360,151874188,1400000,418100,26300000,"{""china_context"": 65, ""cjk_desc"": 133, ""core_term_hits:1"": 193, ""empty_desc"": 39, ""project_term_hits:1"": 193, ""project_term_hits:2"": 8, ""source_hit"": 196, ""zero_play"": 27}",{}
18,羌年,USL,645,104,126,415,0.1612,0.1953,0.6434,1.553,0,0.0,0,0.0,38667397,130868912,620468809,8600000,35700000,48600000,"{""china_context"": 261, ""cjk_desc"": 316, ""core_term_hits:1"": 107, ""core_term_hits:2"": 16, ""empty_desc"": 34, ""project_term_hits:1"": 107, ""project_term_hits:2"": 15, ""source_hit"": 108}",{}
19,侗族大歌,RL,572,62,50,460,0.1084,0.0874,0.8042,0.962,0,0.0,0,0.0,298248,9343475,293887048,72400,4400000,97600000,"{""china_context"": 133, ""cjk_desc"": 181, ""core_term_hits:1"": 53, ""core_term_hits:2"": 14, ""empty_desc"": 24, ""project_term_hits:1"": 53, ""project_term_hits:2"": 14, ""source_hit"": 62}",{}
20,西安鼓乐,RL,725,55,79,591,0.0759,0.109,0.8152,0.926,0,0.0,0,0.0,25052555,22640566,1188154289,6000000,10800000,67200000,"{""china_context"": 149, ""cjk_desc"": 324, ""core_term_hits:1"": 52, ""empty_desc"": 17, ""project_term_hits:1"": 52, ""project_term_hits:2"": 7, ""source_hit"": 47, ""zero_play"": 10}",{}
21,中国蚕桑丝织技艺,RL,1045,176,173,696,0.1684,0.1656,0.666,1.669,85,0.0813,163,0.156,53694741,156542320,589638558,29300000,57100000,56600000,"{""china_context"": 226, ""cjk_desc"": 251, ""core_term_hits:1"": 98, ""generic_source_only"": 163, ""project_term_hits:1"": 464, ""project_term_hits:2"": 105, ""project_term_hits:3"": 91, ""source_hit"": 315}","{""duvet"": 4, ""factory"": 19, ""industrial"": 3, ""satin"": 17, ""silkdress"": 32, ""silkpillowcase"": 3, ""silkscarf"": 15}"
22,南音,RL,773,132,60,581,0.1708,0.0776,0.7516,1.251,0,0.0,0,0.0,18814705,2697013,353874177,2100000,541100,19300000,"{""china_context"": 201, ""cjk_desc"": 298, ""core_term_hits:1"": 130, ""core_term_hits:2"": 15, ""empty_desc"": 66, ""project_term_hits:1"": 130, ""project_term_hits:2"": 15, ""source_hit"": 135}",{}
23,南京云锦织造技艺,RL,630,207,83,340,0.3286,0.1317,0.5397,2.01,0,0.0,0,0.0,101751989,22003881,340001754,13000000,10600000,106000000,"{""china_context"": 183, ""cjk_desc"": 235, ""core_term_hits:1"": 204, ""core_term_hits:2"": 17, ""empty_desc"": 23, ""project_term_hits:1"": 204, ""project_term_hits:2"": 17, ""source_hit"": 204}",{}
