sample_id,project_id,project_name,no_china_signal_unique_ratio,no_china_signal_play_ratio_rowlabel,video_id,url,play_count,source_term,author_handle,caption,hashtags,hashtags_text,quality_label,quality_score,quality_reasons,china_context_hit,china_context_terms,has_cjk_desc,manual_label_relevant_irrelevant_uncertain,manual_false_negative_if_relevant,manual_notes
CS-40-01,40,中国雕版印刷技艺,0.9563,0.444,7519937366031748374,https://www.tiktok.com/@wooden.stamp.printing/video/7519937366031748374,6800000,blockprinting,wooden.stamp.printing,"Bold Prints, Timeless Craft | Block Printing Magic in Action! 🖼️✨ #BlockPrinting #HandmadeArt #Printmaking #DIY","[""blockprinting"", ""handmadeart"", ""printmaking"", ""DIY""]","[""BlockPrinting"", ""HandmadeArt"", ""Printmaking"", ""DIY""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-02,40,中国雕版印刷技艺,0.9563,0.444,7310386357002816814,https://www.tiktok.com/@hkuoprints/video/7310386357002816814,4400000,blockprinting,hkuoprints,"Shrimp cake!!🎂🦐🎂 For all the shrimp fans out there I printed up some shrimp cake shirts to express my love for them lol💖🦐💖🍤💖 they’re available in my shop, link in my bio!🦐❤️ #printtok #blockprinting #fyp #shrimptok #handprintedshirts #shrimpshirt  ","[""printtok"", ""blockprinting"", ""fyp"", ""shrimptok"", ""handprintedshirts"", ""shrimpshirt""]","[""printtok"", ""blockprinting"", ""fyp"", ""shrimptok"", ""handprintedshirts"", ""shrimpshirt""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-03,40,中国雕版印刷技艺,0.9563,0.444,7018861472017075462,https://www.tiktok.com/@closeopenclub/video/7018861472017075462,4200000,blockprinting,closeopenclub,The second layer landed so well! 🙏#printmaking #inktober #ForYouPizza #blockprinting #IKnowWhatYouDid,"[""printmaking"", ""inktober"", ""ForYouPizza"", ""blockprinting"", ""IKnowWhatYouDid""]","[""inktober"", ""ForYouPizza"", ""blockprinting"", ""IKnowWhatYouDid""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-04,40,中国雕版印刷技艺,0.9563,0.444,7571632097266289934,https://www.tiktok.com/@carolineherzog/video/7571632097266289934,4200000,blockprinting,carolineherzog,The print of this carving is available on my website!! $15 from every sale is going to be donated to non profits helping fight food insecurity in our country! #blockcarving #blockprint #blockprinted #blockprinting #printmaking #printmaker #linocutprint #linocut #art #artist #artistsoftiktok #charity #nonprofit #foodinsecurity #foodpantry #jesus #gospel #jesusmiracles ,"[""blockcarving"", ""blockprint"", ""blockprinted"", ""blockprinting"", ""printmaking"", ""printmaker"", ""linocutprint"", ""linocut"", ""art"", ""artist"", ""artistsoftiktok"", ""charity"", ""nonprofit"", ""foodinsecurity"", ""foodpantry"", ""jesus"", ""gospel"", ""jesusmiracles""]","[""blockcarving"", ""blockprint"", ""blockprinted"", ""blockprinting"", ""printmaking"", ""printmaker"", ""linocutprint"", ""linocut"", ""art"", ""artist"", ""artistsoftiktok"", ""charity"", ""nonprofit"", ""foodinsecurity"", ""foodpantry"", ""jesus"", ""gospel"", ""jesusmiracles""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-05,40,中国雕版印刷技艺,0.9563,0.444,7381980068731997486,https://www.tiktok.com/@ririspams00/video/7381980068731997486,2400000,blockprinting,ririspams00,hobby girl summer is not ready for us 💪💪 also carving out the design is so satisfying 😌😌 #linocut #linocutprint #printmaking #printmaker #artist #artistsoftiktok #speedball #print #blockprint #blockprinting #hobby #newhobby #hobbyideas ,"[""linocut"", ""linocutprint"", ""printmaking"", ""printmaker"", ""artist"", ""artistsoftiktok"", ""speedball"", ""print"", ""blockprint"", ""blockprinting"", ""hobby"", ""newhobby"", ""hobbyideas""]","[""linocut"", ""linocutprint"", ""printmaking"", ""printmaker"", ""artist"", ""artistsoftiktok"", ""speedball"", ""print"", ""blockprint"", ""blockprinting"", ""hobby"", ""newhobby"", ""hobbyideas""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-06,40,中国雕版印刷技艺,0.9563,0.444,7159572112062106926,https://www.tiktok.com/@wizcallifuh/video/7159572112062106926,2200000,blockprinting,wizcallifuh,Pt 1 of my over the garden wall stamps #overthegardenwall #wirt #blockprinting #stampcarving #artistsoftiktok #diy #fyp #halloween #cottagecore #foryou #foryoupage #inktober #stamping ,"[""overthegardenwall"", ""wirt"", ""blockprinting"", ""stampcarving"", ""artistsoftiktok"", ""DIY"", ""fyp"", ""halloween"", ""cottagecore"", ""foryou"", ""foryoupage"", ""inktober"", ""stamping""]","[""overthegardenwall"", ""wirt"", ""blockprinting"", ""stampcarving"", ""artistsoftiktok"", ""diy"", ""fyp"", ""halloween"", ""cottagecore"", ""foryou"", ""foryoupage"", ""inktober"", ""stamping""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-07,40,中国雕版印刷技艺,0.9563,0.444,7344386564455173418,https://www.tiktok.com/@carolineherzog/video/7344386564455173418,2200000,blockprinting,carolineherzog,Block printing is truly so so fun!! Would recommend as a new hobby if you’ve been looking for one #linocut #linocutprint #printmaking #printmaker #artist #artistsoftiktok #speedball #print #blockprint #blockprinting #hobby #newhobby #hobbyideas ,"[""linocut"", ""linocutprint"", ""printmaking"", ""printmaker"", ""artist"", ""artistsoftiktok"", ""speedball"", ""print"", ""blockprint"", ""blockprinting"", ""hobby"", ""newhobby"", ""hobbyideas""]","[""linocut"", ""linocutprint"", ""printmaking"", ""printmaker"", ""artist"", ""artistsoftiktok"", ""speedball"", ""print"", ""blockprint"", ""blockprinting"", ""hobby"", ""newhobby"", ""hobbyideas""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-08,40,中国雕版印刷技艺,0.9563,0.444,7050507445919206703,https://www.tiktok.com/@jacob_heat.co/video/7050507445919206703,1900000,blockprinting,jacob_heat.co,Framed this lil cutie how #blockprinting #picasso #artistsoftiktok,"[""blockprinting"", ""picasso"", ""artistsoftiktok""]","[""blockprinting"", ""picasso"", ""artistsoftiktok""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-09,40,中国雕版印刷技艺,0.9563,0.444,7614859766204009749,https://www.tiktok.com/@sabdikaa/video/7614859766204009749,915800,blockprinting,sabdikaa,"🪷 Design your own kurthi in Nepal by @Prasuna.clo ✨ I recently got to experience this beautiful block printing workshop where a plain white kurthi slowly turns into something completely your own. ✨ You get to choose from 3 different kurthi styles, pick your wooden blocks, dip them in color, and print your design one stamp at a time. 🎨🧵 I went all in with a lotus design 🪷, and honestly the whole process was so calming and fun. There’s something really special about watching a blank fabric slowly come to life with your own hands. 🤍 This amazing space was started by Prasuna, who began her journey at just 20 years old. Choosing to stay in Nepal 🇳🇵 and build a business here has made her such an inspiration to so many young people. 🌱 And now every time I wear this kurthi, I’ll remember the experience and the people behind it. 🪷 Watch the video for my final kurthi reveal! 👀✨ #thingstodo #activity #kurthi  #prasunaclo #fyp ","[""thingstodo"", ""activity"", ""kurthi"", ""prasunaclo"", ""fyp""]","[""thingstodo"", ""activity"", ""kurthi"", ""prasunaclo"", ""fyp""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-40-10,40,中国雕版印刷技艺,0.9563,0.444,7377880700047019310,https://www.tiktok.com/@hkuoprints/video/7377880700047019310,896000,blockprinting,hkuoprints,Bunnified some jjk characters and decided to print them all onto a t-shirt hehe >:) who’s your favorite? jujutsu bun tees are up in my shop for anyone who’s interested! Link’s in my bio! 🐇🖤🐇 #printtok #blockprinting #fyp #handprintedshirts #handprintedapparel #jjk #gojosatoru #getosuguru #choso #tojifushiguro ,"[""printtok"", ""blockprinting"", ""fyp"", ""handprintedshirts"", ""handprintedapparel"", ""jjk"", ""gojosatoru"", ""getosuguru"", ""choso"", ""tojifushiguro""]","[""printtok"", ""blockprinting"", ""fyp"", ""handprintedshirts"", ""handprintedapparel"", ""jjk"", ""gojosatoru"", ""getosuguru"", ""choso"", ""tojifushiguro""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
