project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,348,36,10,"{""ceiling_capped_500"": 394}",0,394,888870351,125035,2256016,859690,5009642,11029867,25138436,117375217,389,340,206,94,2,11706317,263322,0,2157480,38480,0,bMR0FMu4CCw,https://www.youtube.com/watch?v=bMR0FMu4CCw,"Drone Invasion, China! 🛸👽 #shortsvideo #shorts #viralvideo — Drone Invasion, China! 🛸👽💫

This is footage from a drone light show during Chinese New Year celebrations in Shenzhen, China!
The showcase blends cutting-edge ",348,753005961,107492,2163810,673380,3912107,10195800,28039889,117375217,344,298,176,77,2,10229212,225754,0,2157480,38480,0,bMR0FMu4CCw,https://www.youtube.com/watch?v=bMR0FMu4CCw,"Drone Invasion, China! 🛸👽 #shortsvideo #shorts #viralvideo — Drone Invasion, China! 🛸👽💫

This is footage from a drone light show during Chinese New Year celebrations in Shenzhen, China!
The showcase blends cutting-edge ",384,859339353,109129,2237863,752353,4517622,11056621,25769187,117375217,379,330,196,88,2,11529088,258783,0,2157480,38480,0,bMR0FMu4CCw,https://www.youtube.com/watch?v=bMR0FMu4CCw,"Drone Invasion, China! 🛸👽 #shortsvideo #shorts #viralvideo — Drone Invasion, China! 🛸👽💫

This is footage from a drone light show during Chinese New Year celebrations in Shenzhen, China!
The showcase blends cutting-edge ",10,29530998,1884183,2953100,4899444,5974237,6803139,7466261,7632041,10,10,10,6,0,177229,4539,0,78257,2422,0,Rmd6MyjyBu4,https://www.youtube.com/watch?v=Rmd6MyjyBu4,World Dragon & Lion Dance at Lalaport — ,0.8832,0.9746,0.0254,0.8471,0.9668,0.0332,low,top_20pct_reach,7.442505,top_20pct_reach,7.39854,top_20pct_reach,7.435587,False,0
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,130,39,6,"{""exhausted"": 175}",0,175,40454189,7592,231167,49042,228423,507552,2363132,22590642,125,76,33,4,1,747566,11089,0,280155,1614,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,130,29484123,3589,226801,17048,126413,379030,1090412,22590642,84,46,17,2,1,192294,5259,0,76936,886,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,169,38776070,6661,229444,47660,218132,458480,2458422,22590642,120,73,31,3,1,576420,10222,0,280155,1614,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,6,1678119,42348,279686,134536,792384,1111534,1366854,1430684,5,3,2,1,0,171146,867,0,155495,769,0,DTEudSssmtw,https://www.youtube.com/watch?v=DTEudSssmtw,they also bring good luck when you pour 👍 #tea #teapet #chinese #wow #jessesteahouse #animal — ,0.7429,0.9657,0.0343,0.7288,0.9585,0.0415,low,middle_40_70pct_reach,6.283289,middle_40_70pct_reach,6.163205,middle_40_70pct_reach,6.258761,False,0
3,太极拳,Taijiquan,RL,传统体育/养生,779,67,8,"{""ceiling_capped_500"": 854}",0,817,392928512,46408,480941,285200,1099620,1946147,6816338,29449675,766,608,313,92,3,7288053,219986,0,861846,14905,0,RT__zECAhXw,https://www.youtube.com/watch?v=RT__zECAhXw,"Russian Hercules Look Down on Tai Chi Granny,He regretted it.#kungfu #fighting #taichi #wushufight — ",768,375977929,49032,489555,291041,1098304,1886118,6923148,29449675,723,580,300,87,1,7065595,209535,0,861846,14905,0,RT__zECAhXw,https://www.youtube.com/watch?v=RT__zECAhXw,"Russian Hercules Look Down on Tai Chi Granny,He regretted it.#kungfu #fighting #taichi #wushufight — ",809,392251179,46636,484859,286403,1107680,1993754,6849934,29449675,759,605,311,92,3,7274657,219342,0,861846,14905,0,RT__zECAhXw,https://www.youtube.com/watch?v=RT__zECAhXw,"Russian Hercules Look Down on Tai Chi Granny,He regretted it.#kungfu #fighting #taichi #wushufight — ",8,677333,8190,84667,104950,242854,319595,380987,396335,7,3,2,0,0,13396,644,0,8039,215,0,8TSEnoAa39s,https://www.youtube.com/watch?v=8TSEnoAa39s,"Taiji/yinyang philosophy: Chungliang Al Huang at TEDxHendrixCollege — Chungliang Al Huang is the founder & President of the Living Tao Foundation and author of numerous best-selling books, including the classic ""Embrace ",0.94,0.9902,0.0098,0.9569,0.9983,0.0017,low,high_20_40pct_reach,6.95273,top_20pct_reach,6.939429,top_20pct_reach,6.955864,True,1
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
