project_id,project_name,search_keyword,current_stop_reason,current_pages_fetched,current_collected_count,current_next_page_token_present,youtube_stock_qualitative_state,youtube_totalResults_estimate_weak_signal,youtube_likely_reach_tier,youtube_likely_reach_score,youtube_project_likely_total_view,youtube_project_likely_unique_videos,youtube_project_raw_total_view,youtube_project_low_relevance_play_ratio,youtube_raw_to_likely_tier_delta,youtube_reach_noise_risk,tiktok_quadrant,tiktok_quadrant_label,tiktok_review_priority,tiktok_likely_reach_tier,tiktok_stock_band_qualitative,tiktok_scale_tier_qualitative,tiktok_manual_priority_rows,cross_platform_stock_compare_note,term_raw_unique_videos,term_likely_unique_videos,term_needs_review_unique_videos,term_low_unique_videos,term_likely_video_ratio,term_low_video_ratio,term_raw_total_view,term_likely_total_view,term_low_total_view,term_likely_play_ratio,term_low_play_ratio,term_likely_max_view,term_raw_max_view,term_top_likely_url,term_top_raw_url,term_label_counts,deepcrawl_priority,priority_rank,recommended_action,recommended_page_plan,recommended_max_pages,deepcrawl_reason,candidate_rank
1,春节,Chinese New Year,sample_limit_reached,3,139,True,youtube_three_page_lower_bound_unresolved,1000000,top_20pct_reach,7.218688,355723582,186,540089064,0.0057,0,low,stock_high__reach_high,真·规模化出海候选,P3_normal,top_20pct_reach,stock_high,head,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,139,121,16,2,0.8705,0.0144,368782518,340297128,2576943,0.9228,0.007,88533729,88533729,https://www.youtube.com/watch?v=gykWYPrArbY,https://www.youtube.com/watch?v=gykWYPrArbY,"{'needs_review': 16, 'likely_relevant': 121, 'low_relevance': 2}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,1
21,中国蚕桑丝织技艺,Chinese silk sericulture,sample_limit_reached,3,147,True,youtube_three_page_lower_bound_unresolved,22349,top_20pct_reach,6.991169,240638320,85,345887073,0.0134,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,middle_40_70pct_reach,stock_low,near_invisible,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,147,85,55,7,0.5782,0.0476,345887073,240638320,4622106,0.6957,0.0134,128528750,128528750,https://www.youtube.com/watch?v=87duJEtkLs4,https://www.youtube.com/watch?v=87duJEtkLs4,"{'likely_relevant': 85, 'needs_review': 55, 'low_relevance': 7}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,2
42,古琴艺术,Chinese Guqin,sample_limit_reached,3,137,True,youtube_three_page_lower_bound_unresolved,503206,top_20pct_reach,6.816463,157280533,210,310843383,0.1092,1,low,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,high_20_40pct_reach,stock_mid,long_tail,9,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,137,94,35,8,0.6861,0.0584,288743616,140768008,24648389,0.4875,0.0854,25407032,28695108,https://www.youtube.com/watch?v=gf6v59c5yuY,https://www.youtube.com/watch?v=IxM1tjTvFAc,"{'likely_relevant': 94, 'needs_review': 35, 'low_relevance': 8}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,3
3,太极拳,Tai Chi,sample_limit_reached,3,132,True,youtube_three_page_lower_bound_unresolved,1000000,top_20pct_reach,6.640376,118073022,225,159524947,0.0036,1,low,stock_high__reach_high,真·规模化出海候选,P3_normal,high_20_40pct_reach,stock_high,head,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,132,132,0,0,1.0,0.0,87245248,87245248,0,1.0,0.0,9772809,9772809,https://www.youtube.com/watch?v=ulicDWNz47M,https://www.youtube.com/watch?v=ulicDWNz47M,{'likely_relevant': 132},P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,4
42,古琴艺术,Guqin,sample_limit_reached,3,143,True,youtube_three_page_lower_bound_unresolved,514820,top_20pct_reach,6.816463,157280533,210,310843383,0.1092,1,low,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,high_20_40pct_reach,stock_mid,long_tail,9,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,143,142,0,1,0.993,0.007,93173565,83874855,9298710,0.9002,0.0998,17613930,17613930,https://www.youtube.com/watch?v=h0AAFhx3RmA,https://www.youtube.com/watch?v=h0AAFhx3RmA,"{'likely_relevant': 142, 'low_relevance': 1}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,5
13,中国木活字印刷术,Chinese wooden movable type,sample_limit_reached,3,143,True,youtube_three_page_lower_bound_unresolved,1000000,top_20pct_reach,6.374185,79502559,88,221246602,0.0003,2,low,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,high_20_40pct_reach,stock_low,near_invisible,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,143,88,48,7,0.6154,0.049,221246602,79502559,77331,0.3593,0.0003,51231790,141012259,https://www.youtube.com/watch?v=I9QSaS0wX2Y,https://www.youtube.com/watch?v=XSrolys3uqo,"{'likely_relevant': 88, 'needs_review': 48, 'low_relevance': 7}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,6
3,太极拳,Taijiquan,sample_limit_reached,3,137,True,youtube_three_page_lower_bound_unresolved,886850,top_20pct_reach,6.640376,118073022,225,159524947,0.0036,1,low,stock_high__reach_high,真·规模化出海候选,P3_normal,high_20_40pct_reach,stock_high,head,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,137,96,38,3,0.7007,0.0219,90598952,41367287,574317,0.4566,0.0063,8211854,18384107,https://www.youtube.com/watch?v=e4VIw41R-PU,https://www.youtube.com/watch?v=cEOS2zoyQw4,"{'likely_relevant': 96, 'needs_review': 38, 'low_relevance': 3}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,7
35,中国篆刻,seal engraving,sample_limit_reached,3,145,True,youtube_three_page_lower_bound_unresolved,479356,high_20_40pct_reach,5.76151,38579585,227,44404227,0.1124,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,middle_40_70pct_reach,stock_mid,long_tail,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,145,123,13,9,0.8483,0.0621,43403765,38086149,4991169,0.8775,0.115,14664327,14664327,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,"{'likely_relevant': 123, 'needs_review': 13, 'low_relevance': 9}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,8
39,妈祖信俗,Mazu,sample_limit_reached,3,140,True,youtube_three_page_lower_bound_unresolved,985737,top_20pct_reach,6.286877,36066888,130,45491409,0.1449,2,low,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,middle_40_70pct_reach,stock_high,mid,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,140,130,3,7,0.9286,0.05,45491409,36066888,6590645,0.7928,0.1449,14689305,14689305,https://www.youtube.com/watch?v=yd-L47K2luA,https://www.youtube.com/watch?v=yd-L47K2luA,"{'likely_relevant': 130, 'low_relevance': 7, 'needs_review': 3}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,9
2,中国传统制茶技艺及其相关习俗,Chinese tea ceremony,sample_limit_reached,3,148,True,youtube_three_page_lower_bound_unresolved,894899,high_20_40pct_reach,6.203333,30363057,106,47139009,0.1617,1,low,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,high_20_40pct_reach,stock_high,mid,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,148,106,38,4,0.7162,0.027,47139009,30363057,7622280,0.6441,0.1617,22590639,22590639,https://www.youtube.com/watch?v=3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,"{'likely_relevant': 106, 'needs_review': 38, 'low_relevance': 4}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,10
34,中国书法,Chinese calligraphy,sample_limit_reached,3,132,True,youtube_three_page_lower_bound_unresolved,964210,high_20_40pct_reach,6.177671,25339037,126,29394125,0.0311,1,low,stock_high__reach_high,真·规模化出海候选,P3_normal,top_20pct_reach,stock_high,head,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,132,126,4,2,0.9545,0.0152,29394125,25339037,915607,0.862,0.0311,4068005,4068005,https://www.youtube.com/watch?v=u4NymUSXVBI,https://www.youtube.com/watch?v=u4NymUSXVBI,"{'likely_relevant': 126, 'needs_review': 4, 'low_relevance': 2}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,11
25,粤剧,Cantonese opera,sample_limit_reached,3,148,True,youtube_three_page_lower_bound_unresolved,654308,high_20_40pct_reach,6.134087,25293544,139,32538978,0.1312,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,lower_70_90pct_reach,stock_low,near_invisible,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,148,139,5,4,0.9392,0.027,32538978,25293544,4268121,0.7773,0.1312,4951886,4951886,https://www.youtube.com/watch?v=5rgNRdbPdtg,https://www.youtube.com/watch?v=5rgNRdbPdtg,"{'likely_relevant': 139, 'low_relevance': 4, 'needs_review': 5}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,12
35,中国篆刻,Chinese seal engraving,sample_limit_reached,3,150,True,youtube_three_page_lower_bound_unresolved,65155,high_20_40pct_reach,5.76151,38579585,227,44404227,0.1124,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,middle_40_70pct_reach,stock_mid,long_tail,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,150,148,2,0,0.9867,0.0,21127247,20620221,0,0.976,0.0,14664327,14664327,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,"{'likely_relevant': 148, 'needs_review': 2}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,13
