project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,187,67,13,"{""sample_limit_reached"": 267}",267,264,540089064,69240,2045792,513239,3324729,6473295,22801445,141775756,251,201,113,51,0,7698616,178324,0,1605654,38480,0,JbqN7L7dw3I,https://www.youtube.com/watch?v=JbqN7L7dw3I,We are not closed during the Spring Festival # eat dumplings # soy sauce # celebrate the n — ,186,355723582,95827,1912492,750150,3615856,9334263,22139571,88533729,182,153,92,42,0,6278008,146510,0,1605654,38480,0,gykWYPrArbY,https://www.youtube.com/watch?v=gykWYPrArbY,"SALES - chinese new year — off SALES' self-titled debut EP

order the EP here ~ http://bit.ly/31NBfvO
iTunes ~ http://bit.ly/1xcDara
Spotify ~ http://bit.ly/1t052I8

""chinese new year"" on iTunes ~ http://bit.ly/1pCb7fG
""",251,537002776,75074,2139453,531624,3482717,6954957,23192552,141775756,238,195,109,50,0,7662354,177750,0,1605654,38480,0,JbqN7L7dw3I,https://www.youtube.com/watch?v=JbqN7L7dw3I,We are not closed during the Spring Festival # eat dumplings # soy sauce # celebrate the n — ,13,3086288,6486,237407,198046,779332,1215033,1567539,1655666,13,6,4,1,0,36262,574,0,11420,103,0,tB8X1tqvHtc,https://www.youtube.com/watch?v=tB8X1tqvHtc,Shanghai New Year Fireworks — ,0.7045,0.9508,0.0492,0.6586,0.9943,0.0057,low,top_20pct_reach,7.276268,top_20pct_reach,7.218688,top_20pct_reach,7.284755,False,0
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,106,38,4,"{""sample_limit_reached"": 148}",148,148,47139009,12378,318507,80366,331263,555851,6271257,22590639,118,77,34,4,0,760476,15582,0,280155,5396,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,106,30363057,6310,286444,44980,206380,471910,1235583,22590639,79,47,18,2,0,218182,5239,0,76937,886,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,144,39516729,11207,274422,76150,327312,547051,3399084,22590639,114,74,32,3,0,598418,10093,0,280155,1614,0,3V7ezUaKhHs,https://www.youtube.com/watch?v=3V7ezUaKhHs,Dragon Carved Tea Tray – Solid Stone Gongfu Tea Table for Traditional Chinese Tea Ceremony — Discover the elegance of the Black Stone Dragon Tea Tray — where timeless craftsmanship meets the art of tea.,4,7622280,114986,1905570,1961439,5214677,6299089,7166619,7383502,4,3,2,1,0,162058,5489,0,146531,5396,0,LaLvVc1sS20,https://www.youtube.com/watch?v=LaLvVc1sS20,"The history of tea - Shunan Teng — Trace the origins of tea and find out how it became the second most consumed beverage in the world.

--

Tea is the second most consumed beverage in the world after water — and from sug",0.7162,0.973,0.027,0.6441,0.8383,0.1617,low,middle_40_70pct_reach,6.321611,high_20_40pct_reach,6.203333,high_20_40pct_reach,6.28982,True,1
3,太极拳,Taijiquan,RL,传统体育/养生,228,38,3,"{""sample_limit_reached"": 269}",269,262,159524947,90380,608874,465960,1335541,2212339,8487105,18384107,250,210,125,41,0,2731332,80984,0,206357,6638,0,cEOS2zoyQw4,https://www.youtube.com/watch?v=cEOS2zoyQw4,"Tai Chi 5 Minutes a Day  Module 01 - Easy for Beginners - the Wave and Embracing the Moon — Simple Easy beginners Tai Chi. Get these YouTube videos in your inbox. 
https://www.taiflow.com/taiflow-signup

Follow my Instag",225,118073022,91259,524769,449201,1312597,2108307,6821233,9772809,215,182,108,33,0,2065787,60651,0,179848,4377,0,ulicDWNz47M,https://www.youtube.com/watch?v=ulicDWNz47M,"Tai Chi Mastery: Use Stillness to Control Movement | 陈长兴 Wisdom — 太极之道，以静制动。Tàijí zhī dào, yǐ jìng zhì dòng.
“The way of Tai Chi is to use stillness to control movement.” - Chen Changxing (陈长兴)

🎥沅芷

1️⃣Follow @shaolinwo",259,158950630,90292,613709,471959,1346883,2217550,8508278,18384107,247,208,123,41,0,2721253,80567,0,206357,6638,0,cEOS2zoyQw4,https://www.youtube.com/watch?v=cEOS2zoyQw4,"Tai Chi 5 Minutes a Day  Module 01 - Easy for Beginners - the Wave and Embracing the Moon — Simple Easy beginners Tai Chi. Get these YouTube videos in your inbox. 
https://www.taiflow.com/taiflow-signup

Follow my Instag",3,574317,176717,191439,286524,352409,374370,391940,396332,3,2,2,0,0,10079,417,0,8040,214,0,8TSEnoAa39s,https://www.youtube.com/watch?v=8TSEnoAa39s,"Taiji/yinyang philosophy: Chungliang Al Huang at TEDxHendrixCollege — Chungliang Al Huang is the founder & President of the Living Tao Foundation and author of numerous best-selling books, including the classic ""Embrace ",0.8588,0.9885,0.0115,0.7402,0.9964,0.0036,low,high_20_40pct_reach,6.754614,top_20pct_reach,6.640376,top_20pct_reach,6.753728,True,1
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,51,61,34,"{""sample_limit_reached"": 146}",146,146,547719,434,3752,1145,3952,10496,79064,138434,39,8,1,0,1,8247,382,0,1706,159,0,Jbpf0SznqXI,https://www.youtube.com/watch?v=Jbpf0SznqXI,How to make Chinese Tea ? — ,51,113466,139,2225,580,1003,3417,46393,66007,6,2,0,0,1,1742,88,0,1235,49,0,A2Ho4BmE1uI,https://www.youtube.com/watch?v=A2Ho4BmE1uI,"館長晚間到廈門參加廈港送王船活動　現場邀請在廈門的朋友快來看 #館長 #廈港送王船 #廈門 — 館長表示，今晚將前往廈門參與廈港送王船民俗活動，並在行程中向粉絲發出即時邀請，直說「在廈門的趕緊來看」。他形容，送王船不只是熱鬧儀式，更是融合信仰、社群與傳承的重要時刻。
他也提到，這類民俗活動只有到現場，才能感受到人潮、鼓陣與儀式氛圍交織而成的震撼感。對於已在廈門的朋友，他呼籲把握機會親眼見證，感受同源文化的力量。
訊息曝光後，彈幕立刻熱絡",112,271477,397,2424,924,3219,9677,40896,66007,24,6,0,0,1,5139,196,0,1572,49,0,A2Ho4BmE1uI,https://www.youtube.com/watch?v=A2Ho4BmE1uI,"館長晚間到廈門參加廈港送王船活動　現場邀請在廈門的朋友快來看 #館長 #廈港送王船 #廈門 — 館長表示，今晚將前往廈門參與廈港送王船民俗活動，並在行程中向粉絲發出即時邀請，直說「在廈門的趕緊來看」。他形容，送王船不只是熱鬧儀式，更是融合信仰、社群與傳承的重要時刻。
他也提到，這類民俗活動只有到現場，才能感受到人潮、鼓陣與儀式氛圍交織而成的震撼感。對於已在廈門的朋友，他呼籲把握機會親眼見證，感受同源文化的力量。
訊息曝光後，彈幕立刻熱絡",34,276242,679,8125,2337,7142,37835,122367,138434,15,2,1,0,0,3108,186,0,1706,159,0,Jbpf0SznqXI,https://www.youtube.com/watch?v=Jbpf0SznqXI,How to make Chinese Tea ? — ,0.3493,0.7671,0.2329,0.2072,0.4957,0.5043,high,bottom_10pct_reach,4.474221,lower_70_90pct_reach,3.969944,bottom_10pct_reach,4.260751,True,1
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,22,57,41,"{""sample_limit_reached"": 120}",120,120,143347023,3098,1194559,193797,1947462,8411835,16417914,43477224,85,47,35,18,0,1829200,36660,0,487806,15801,0,x6UITRjhijI,https://www.youtube.com/watch?v=x6UITRjhijI,"Tibetan Healing Sounds: Cleans the Aura and Space. Removes all negative energy — Check out my new video of Tibetan Healing Sounds https://youtu.be/0y313epD6IE
30 Min. Powerful Tibetan Healing Meditation Video
#MoreTibeta",22,55636,1061,2529,2129,5078,5447,19994,23857,11,1,0,0,0,1456,69,0,419,13,0,WLQ5rc8vUjs,https://www.youtube.com/watch?v=WLQ5rc8vUjs,"Tibetan Medicine warm oil massage - Contemplation By Design Summit 2017, Stanford University — Self-care skills have always been a fundamental component of contemplative practice traditions. This practical workshop will ",79,88308214,2075,1117825,10738,1076147,2241613,22499081,43477224,53,20,11,8,0,1151766,23677,0,487806,15801,0,x6UITRjhijI,https://www.youtube.com/watch?v=x6UITRjhijI,"Tibetan Healing Sounds: Cleans the Aura and Space. Removes all negative energy — Check out my new video of Tibetan Healing Sounds https://youtu.be/0y313epD6IE
30 Min. Powerful Tibetan Healing Meditation Video
#MoreTibeta",41,55038809,178331,1342410,869068,4329354,9314825,9624788,9687186,32,27,24,10,0,677434,12983,0,104106,2268,0,0D4V5awe-PA,https://www.youtube.com/watch?v=0D4V5awe-PA,"Tibetan Monks Chantiing Om for Deep Meditation and Spiritual Awakening — Provided to YouTube by The state51 Conspiracy

Tibetan Monks Chantiing Om for Deep Meditation and Spiritual Awakening · Tibetan Singing Bells Monks",0.1833,0.6583,0.3417,0.0004,0.616,0.384,medium,high_20_40pct_reach,6.96173,bottom_10pct_reach,3.844087,top_20pct_reach,6.639367,True,-3
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,148,2,0,"{""sample_limit_reached"": 150}",150,150,1183346,42,7889,301,1565,8329,54978,968900,19,6,1,0,8,10524,437,0,9576,343,0,WoJy3W-4hxE,https://www.youtube.com/watch?v=WoJy3W-4hxE,《大雪》音阙诗听 二十四节气系列歌曲《Great Snow 》[The 24 solar terms] — Please subscribe to 【音阙诗听】interestingcn music team Channel on YouTube if you like my videos: https://www.youtube.com/channel/UCIGE... Turn on the little bell for noti,148,1142003,38,7716,297,1344,7686,43319,968900,18,5,1,0,8,10524,437,0,9576,343,0,WoJy3W-4hxE,https://www.youtube.com/watch?v=WoJy3W-4hxE,《大雪》音阙诗听 二十四节气系列歌曲《Great Snow 》[The 24 solar terms] — Please subscribe to 【音阙诗听】interestingcn music team Channel on YouTube if you like my videos: https://www.youtube.com/channel/UCIGE... Turn on the little bell for noti,150,1183346,42,7889,301,1565,8329,54978,968900,19,6,1,0,8,10524,437,0,9576,343,0,WoJy3W-4hxE,https://www.youtube.com/watch?v=WoJy3W-4hxE,《大雪》音阙诗听 二十四节气系列歌曲《Great Snow 》[The 24 solar terms] — Please subscribe to 【音阙诗听】interestingcn music team Channel on YouTube if you like my videos: https://www.youtube.com/channel/UCIGE... Turn on the little bell for noti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.9867,1.0,0.0,0.9651,1.0,0.0,low,bottom_10pct_reach,4.725174,lower_70_90pct_reach,4.707557,bottom_10pct_reach,4.725174,True,1
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,71,4,75,"{""sample_limit_reached"": 150}",150,150,395261731,13901,2635078,372639,3378433,8444051,62026448,75709837,110,80,53,25,0,9763931,92417,0,2761450,35312,0,FJs2UsQza2w,https://www.youtube.com/watch?v=FJs2UsQza2w,"🤯 Have you heard of “abacus” theory? — 🤯 Did you know the “abacus” theory? It allows you to mentally perform arithmetic calculations just by using certain special finger combinations.

🔥 Learn ALL the maths you need for ",71,1842282,1481,25948,9631,31963,81182,450391,997636,37,18,2,0,0,17660,766,0,8533,370,0,FTVXUG_PngE,https://www.youtube.com/watch?v=FTVXUG_PngE,Abacus Tutorial: 1 Basic function — Description: This film shows the basic functions of the classic Chinese abacus (5+2). Train your skills with the Mental Abacus app for Android (link below) or visit www.abakusen.se for,75,2009287,1599,26790,9631,33287,94669,419120,997636,41,19,3,0,0,20783,904,0,8533,370,0,FTVXUG_PngE,https://www.youtube.com/watch?v=FTVXUG_PngE,Abacus Tutorial: 1 Basic function — Description: This film shows the basic functions of the classic Chinese abacus (5+2). Train your skills with the Mental Abacus app for Android (link below) or visit www.abakusen.se for,75,393252444,334168,5243366,1763324,8472591,35414540,73815298,75709837,69,61,50,25,0,9743148,91513,0,2761450,35312,0,FJs2UsQza2w,https://www.youtube.com/watch?v=FJs2UsQza2w,"🤯 Have you heard of “abacus” theory? — 🤯 Did you know the “abacus” theory? It allows you to mentally perform arithmetic calculations just by using certain special finger combinations.

🔥 Learn ALL the maths you need for ",0.4733,0.5,0.5,0.0047,0.0051,0.9949,high,top_20pct_reach,7.182272,middle_40_70pct_reach,5.158694,lower_70_90pct_reach,5.20774,True,-2
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),157,64,65,"{""sample_limit_reached"": 286}",286,286,2759578,209,9649,1670,29495,62802,136844,199382,90,52,6,0,0,81996,1275,0,4613,161,0,Y28yEUN8xD4,https://www.youtube.com/watch?v=Y28yEUN8xD4,福建漳州阿梅木偶戲演出現場 #传统文化 #福建漳州阿梅木偶戯 Chinese traditional culture — ,157,139485,116,888,189,969,3167,15571,42027,16,3,0,0,0,2107,111,0,228,48,0,hGr7Eb7UrsQ,https://www.youtube.com/watch?v=hGr7Eb7UrsQ,"Amazing Kung-Fu Puppets From Taiwan — Footage of Taiwanese glove puppetry (Potehi or Budaixi) filmed in Yunlin, Taiwan for PuppetVision: The Movie, a feature length documentary about puppeteers and puppetry around the wo",221,2444136,151,11059,3049,34841,63045,137480,199382,69,47,6,0,0,76492,1140,0,4613,161,0,Y28yEUN8xD4,https://www.youtube.com/watch?v=Y28yEUN8xD4,福建漳州阿梅木偶戲演出現場 #传统文化 #福建漳州阿梅木偶戯 Chinese traditional culture — ,65,315442,450,4853,1165,4251,31088,73852,79062,21,5,0,0,0,5504,135,0,2336,28,0,imEzUdMEdAg,https://www.youtube.com/watch?v=imEzUdMEdAg,中華民族閩南地區的非遺文化～木偶戲 — #中華傳統文化 #福建漳州阿梅木偶戯 #木偶戲 #豐歸團隊,0.549,0.7727,0.2273,0.0505,0.8857,0.1143,low,lower_70_90pct_reach,5.078036,lower_70_90pct_reach,3.950568,lower_70_90pct_reach,5.060172,False,0
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,47,25,72,"{""sample_limit_reached"": 144}",144,144,8176617,425,56782,2606,28390,100300,1443638,2412207,55,19,8,4,0,64314,2306,0,15006,699,0,j6M6HHYxz9U,https://www.youtube.com/watch?v=j6M6HHYxz9U,往事只能回味 Wang shi zi neng hui wei 韓寶儀 ( Han bao yi ) — 韓寶儀 - 往事只能回味 wang shi zi neng hui wei KTV,47,2014472,341,42861,894,6982,29524,992281,1286486,11,3,2,1,0,7035,114,0,3492,19,0,O8OYvErAcb8,https://www.youtube.com/watch?v=O8OYvErAcb8,"BAYI LUCU MAKAN LAHAP | Mpasi 8bulan — Terima kasih sudah menonton, ga nyangka ternyata banyak yg nonton mohon maaf jika banyak yg kurang kalo mau liat setelah 2 tahun anaknya tetep makan lahap atau gak cek link di bawah",72,2342348,381,32533,2060,20154,39701,832387,1286486,26,8,3,1,0,11821,456,0,3492,270,0,O8OYvErAcb8,https://www.youtube.com/watch?v=O8OYvErAcb8,"BAYI LUCU MAKAN LAHAP | Mpasi 8bulan — Terima kasih sudah menonton, ga nyangka ternyata banyak yg nonton mohon maaf jika banyak yg kurang kalo mau liat setelah 2 tahun anaknya tetep makan lahap atau gak cek link di bawah",72,5834269,488,81032,3578,31825,115333,1767673,2412207,29,11,5,3,0,52493,1850,0,15006,699,0,j6M6HHYxz9U,https://www.youtube.com/watch?v=j6M6HHYxz9U,往事只能回味 Wang shi zi neng hui wei 韓寶儀 ( Han bao yi ) — 韓寶儀 - 往事只能回味 wang shi zi neng hui wei KTV,0.3264,0.5,0.5,0.2464,0.2865,0.7135,high,lower_70_90pct_reach,5.541765,middle_40_70pct_reach,5.040616,lower_70_90pct_reach,5.121049,True,1
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,69,23,49,"{""sample_limit_reached"": 141}",141,141,145384102,1323,1031093,20544,185748,547888,30986208,58942216,79,49,19,7,0,3457764,27267,0,1632038,6515,0,JZ1DH77eWH0,https://www.youtube.com/watch?v=JZ1DH77eWH0,"Hand Shadow Puppet Tutorial | Handicraft — Hand Shadow #Puppet Tutorial | #Handicraft


hello i am Sabbir Ahmed and i am a Shadow artist. Today I did a hand shadow puppet show,
 shadow puppetry is an ancient form of stor",69,2551668,679,36981,4088,21680,109469,709670,1608057,29,14,4,1,0,39832,360,0,31717,161,0,YzFlGlomGfs,https://www.youtube.com/watch?v=YzFlGlomGfs,"Unveiling China’s 2,000-Year-Old Shadow Puppetry | The Ancient Art Behind the World’s First Film — Unveiling China’s 2,000-Year-Old Shadow Puppetry | The Ancient Art Behind the World’s First Film.

🔹 Description:
Step in",92,3369608,889,36626,6450,25833,191704,500883,1608057,43,20,6,1,0,49003,649,0,31717,173,0,YzFlGlomGfs,https://www.youtube.com/watch?v=YzFlGlomGfs,"Unveiling China’s 2,000-Year-Old Shadow Puppetry | The Ancient Art Behind the World’s First Film — Unveiling China’s 2,000-Year-Old Shadow Puppetry | The Ancient Art Behind the World’s First Film.

🔹 Description:
Step in",49,142014494,20264,2898255,109368,4743385,20091796,46583182,58942216,36,29,13,6,0,3408761,26618,0,1632038,6515,0,JZ1DH77eWH0,https://www.youtube.com/watch?v=JZ1DH77eWH0,"Hand Shadow Puppet Tutorial | Handicraft — Hand Shadow #Puppet Tutorial | #Handicraft


hello i am Sabbir Ahmed and i am a Shadow artist. Today I did a hand shadow puppet show,
 shadow puppetry is an ancient form of stor",0.4894,0.6525,0.3475,0.0176,0.0232,0.9768,high,middle_40_70pct_reach,6.549612,middle_40_70pct_reach,5.317299,middle_40_70pct_reach,5.459345,False,0
