project_id,project_name,list_type,category,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,three_page_lower_bound_videos,three_page_lower_bound_ratio,collection_state_counts,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
1,春节,RL,节庆民俗,264,186,65,13,0.7045,0.2462,0.0492,5.621,0,0.0,125,0.4735,264,1.0,"{""sample_limit_reached"": 264}",355723582,181279194,3086288,88533729,141775756,1655666,"{""china_context"": 259, ""core_term_hits:1"": 110, ""core_term_hits:2"": 91, ""generic_source_only"": 62, ""project_term_hits:1"": 110, ""project_term_hits:2"": 91, ""project_term_hits:3"": 30, ""source_hit"": 233}",{}
2,中国传统制茶技艺及其相关习俗,RL,手工艺/民俗,148,106,38,4,0.7162,0.2568,0.027,5.858,7,0.0473,0,0.0,148,1.0,"{""sample_limit_reached"": 148}",30363057,9153672,7622280,22590639,5017023,7383502,"{""china_context"": 146, ""core_term_hits:1"": 95, ""core_term_hits:2"": 19, ""project_term_hits:1"": 23, ""project_term_hits:2"": 20, ""project_term_hits:3"": 84, ""project_term_hits:4"": 19, ""source_hit"": 99}","{""matchalatte"": 1, ""teapet"": 5, ""teashop"": 2}"
3,太极拳,RL,传统体育/养生,262,225,34,3,0.8588,0.1298,0.0115,5.279,0,0.0,0,0.0,262,1.0,"{""sample_limit_reached"": 262}",118073022,40877608,574317,9772809,18384107,396332,"{""china_context"": 223, ""cjk_text"": 37, ""core_term_hits:1"": 180, ""core_term_hits:2"": 72, ""project_term_hits:1"": 180, ""project_term_hits:2"": 72, ""project_term_hits:4"": 5, ""source_hit"": 220}",{}
4,送王船,RL,民俗仪式,146,51,61,34,0.3493,0.4178,0.2329,3.329,0,0.0,0,0.0,146,1.0,"{""sample_limit_reached"": 146}",113466,158011,276242,66007,42641,138434,"{""china_context"": 115, ""cjk_text"": 80, ""core_term_hits:1"": 35, ""core_term_hits:2"": 20, ""core_term_hits:3"": 18, ""project_term_hits:1"": 35, ""project_term_hits:2"": 20, ""project_term_hits:3"": 18}",{}
5,藏医药浴法,RL,传统医药,120,22,57,41,0.1833,0.475,0.3417,2.775,0,0.0,0,0.0,120,1.0,"{""sample_limit_reached"": 120}",55636,88252578,55038809,23857,43477224,9687186,"{""china_context"": 120, ""core_term_hits:1"": 57, ""core_term_hits:2"": 19, ""core_term_hits:3"": 3, ""project_term_hits:1"": 57, ""project_term_hits:2"": 19, ""project_term_hits:3"": 3, ""source_hit"": 3}",{}
6,二十四节气,RL,传统知识/民俗,150,148,2,0,0.9867,0.0133,0.0,7.52,0,0.0,0,0.0,150,1.0,"{""sample_limit_reached"": 150}",1142003,41343,0,968900,41032,0,"{""china_context"": 144, ""cjk_text"": 53, ""core_term_hits:2"": 117, ""core_term_hits:5"": 13, ""project_term_hits:2"": 117, ""project_term_hits:4"": 10, ""project_term_hits:5"": 13, ""source_hit"": 147}",{}
7,中国珠算,RL,传统知识,150,71,4,75,0.4733,0.0267,0.5,2.887,142,0.9467,0,0.0,150,1.0,"{""sample_limit_reached"": 150}",1842282,167005,393252444,997636,162145,75709837,"{""china_context"": 119, ""cjk_text"": 15, ""core_term_hits:1"": 69, ""core_term_hits:2"": 62, ""negative_term_hits:1"": 142, ""project_term_hits:1"": 69, ""project_term_hits:2"": 62, ""source_hit"": 69}","{""abacus"": 142}"
8,福建木偶戏,GSP,保护实践(木偶戏),286,157,64,65,0.549,0.2238,0.2273,4.713,2,0.007,0,0.0,286,1.0,"{""sample_limit_reached"": 286}",139485,2304651,315442,42027,199382,79062,"{""china_context"": 273, ""cjk_text"": 172, ""core_term_hits:1"": 41, ""core_term_hits:2"": 125, ""project_term_hits:1"": 41, ""project_term_hits:2"": 125, ""project_term_hits:3"": 3, ""source_hit"": 155}","{""handshadow"": 1, ""shadowplay"": 1}"
9,赫哲族伊玛堪,USL,口头传统/史诗,144,47,25,72,0.3264,0.1736,0.5,2.66,0,0.0,0,0.0,144,1.0,"{""sample_limit_reached"": 144}",2014472,327876,5834269,1286486,185714,2412207,"{""china_context"": 107, ""cjk_text"": 22, ""core_term_hits:1"": 48, ""core_term_hits:2"": 12, ""project_term_hits:1"": 48, ""project_term_hits:2"": 12, ""project_term_hits:4"": 4, ""source_hit"": 43}",{}
10,中国皮影戏,RL,表演艺术,141,69,23,49,0.4894,0.1631,0.3475,4.199,3,0.0213,0,0.0,141,1.0,"{""sample_limit_reached"": 141}",2551668,817940,142014494,1608057,391382,58942216,"{""china_context"": 129, ""cjk_text"": 10, ""core_term_hits:1"": 25, ""core_term_hits:2"": 60, ""project_term_hits:1"": 25, ""project_term_hits:2"": 60, ""project_term_hits:3"": 5, ""source_hit"": 64}","{""handshadow"": 3, ""shadowhand"": 1}"
