video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@thomasmiller2334/video/7257632753879895339,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,1400000
https://www.tiktok.com/@thehoosierhiker/video/7403725286170266923,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,1100000
https://www.tiktok.com/@visitbuckspa/video/7377126597482237230,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,429000
https://www.tiktok.com/@h999888n/video/7610329801664056596,中国木拱桥传统营造技艺,B,不相关,主题无关,中文,评论中文为主,台湾,418100
https://www.tiktok.com/@suny04322/video/7624795008431934752,中国木拱桥传统营造技艺,B,不相关,主题无关,中文,混合,,140900
https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,26300000
https://www.tiktok.com/@haileyhutchesonmusic/video/7241677491482463530,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,14400000
https://www.tiktok.com/@3yed.7/video/7641126951213600020,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,其他,混合,阿拉伯语,6700000
https://www.tiktok.com/@keekee4352/video/7560011907990572301,中国木拱桥传统营造技艺,B,拿不准,其他,英文,英文为主,asian,6200000
https://www.tiktok.com/@avanteehee/video/7642560614757420319,中国木拱桥传统营造技艺,B,不相关,蹭热门标签,英文,英文为主,,5300000
https://www.tiktok.com/@candiselin86/video/7267009498705972523,侗族大歌,B,不相关,主题无关,英文,英文为主,,72400
https://www.tiktok.com/@unknowncultures/video/7076982398029794602,侗族大歌,B,不相关,主题无关,英文,英文为主,,40000
https://www.tiktok.com/@injectionmoldingmaster/video/7635193096686423316,侗族大歌,B,不相关,主题无关,英文,几乎没评论,,37100
https://www.tiktok.com/@for.chaney.linqiunan/video/7626972893062171924,侗族大歌,B,不相关,蹭热门标签,英文,英文为主,,4400000
https://www.tiktok.com/@laurierlachance/video/7123446540550688006,侗族大歌,B,不相关,蹭热门标签,中文,评论中文为主,,923000
https://www.tiktok.com/@germangents/video/7545888844516822294,侗族大歌,B,不相关,蹭热门标签,英文,英文为主,,97600000
https://www.tiktok.com/@doroncchungus/video/7639209047526264085,侗族大歌,B,不相关,蹭热门标签,英文,几乎没评论,,18600000
https://www.tiktok.com/@xsex197/video/7632275032064003335,侗族大歌,B,不相关,蹭热门标签,英文,英文为主,,16100000
https://www.tiktok.com/@.poyyop/video/7528750952568917255,侗族大歌,B,不相关,主题无关,其他,混合,,8100000
https://www.tiktok.com/@jadafacer/video/7434164881231744302,侗族大歌,B,不相关,蹭热门标签,英文,英文为主,,6800000
https://www.tiktok.com/@infinity_drum/video/7434569668196601144,西安鼓乐,B,不相关,蹭热门标签,混合,英文为主,,6000000
https://www.tiktok.com/@helowpau/video/7431986123720723755,西安鼓乐,B,不相关,蹭热门标签,英文,英文为主,,4200000
https://www.tiktok.com/@beammusic/video/7390958446398442760,西安鼓乐,B,不相关,蹭热门标签,英文,混合,,4000000
https://www.tiktok.com/@kungfuteam/video/7635089409666256146,西安鼓乐,B,不相关,,,,打不开,10800000
https://www.tiktok.com/@xiao.shagua8/video/7497224257441828118,西安鼓乐,B,不相关,蹭热门标签,中文,混合,,2400000
https://www.tiktok.com/@thedrumpath/video/7397040267813080336,西安鼓乐,B,不相关,主题无关,英文,英文为主,,67200000
https://www.tiktok.com/@emilvergo/video/7497302412177214738,西安鼓乐,B,不相关,主题无关,英文,英文为主,,42800000
https://www.tiktok.com/@brandodrumss/video/7510331932308426030,西安鼓乐,B,不相关,主题无关,英文,英文为主,,33600000
https://www.tiktok.com/@stan_vanderheyden/video/7585989090156367137,西安鼓乐,B,不相关,蹭热门标签,英文,英文为主,,32400000
https://www.tiktok.com/@tarnsoftwhip/video/7428185052883733776,西安鼓乐,B,不相关,蹭热门标签,英文,英文为主,,29700000
https://www.tiktok.com/@levixoneoffical1/video/7532483006053829910,南音,B,不相关,蹭热门标签,英文,英文为主,,2100000
https://www.tiktok.com/@sooooophiiia/video/7308739617677643013,南音,B,不相关,主题无关,英文,英文为主,,1200000
https://www.tiktok.com/@nanf_music/video/7229496868789718318,南音,B,不相关,蹭热门标签,英文,英文为主,,1200000
https://www.tiktok.com/@jo_han2011/video/7648090999050308884,南音,B,不相关,蹭热门标签,中文,评论中文为主,,541100
https://www.tiktok.com/@chinese_server/video/7074192473551064346,南音,B,不相关,主题无关,中文,混合,,324800
https://www.tiktok.com/@fujian1060/video/7152877072203975962,南音,B,不相关,主题无关,其他,英文为主,,19300000
https://www.tiktok.com/@macchiato_082/video/7507293124293578040,南音,B,不相关,主题无关,其他,混合,,17100000
https://www.tiktok.com/@mas_erda2/video/7360346254464814342,南音,B,不相关,蹭热门标签,其他,混合,,16000000
https://www.tiktok.com/@mew_amane/video/7332077937182657793,南音,B,不相关,主题无关,其他,混合,,13700000
https://www.tiktok.com/@cunlidenian/video/7557201122205699359,南音,B,不相关,蹭热门标签,中文,混合,,13600000
https://www.tiktok.com/@ef_gesarhede/video/7468004942196837654,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,几乎没评论,,646800
https://www.tiktok.com/@hayaalall/video/7609398312638221586,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,几乎没评论,,569600
https://www.tiktok.com/@hayaalall/video/7616102412515904776,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,几乎没评论,,508500
https://www.tiktok.com/@nksomin/video/6987630425363565850,格萨(斯)尔史诗传统,B,不相关,蹭热门标签,英文,英文为主,,48000000
https://www.tiktok.com/@thecannedmemes/video/7374521274476924193,格萨(斯)尔史诗传统,B,不相关,主题无关,其他,英文为主,,32600000
https://www.tiktok.com/@apnews/video/7603811260664188174,格萨(斯)尔史诗传统,B,不相关,主题无关,其他,英文为主,,12300000
https://www.tiktok.com/@thegojiking574/video/7639232543551753493,格萨(斯)尔史诗传统,B,不相关,蹭热门标签,英文,英文为主,,11600000
https://www.tiktok.com/@pemuda_polos1/video/7633734305721666836,格萨(斯)尔史诗传统,B,不相关,主题无关,其他,英文为主,,9000000
https://www.tiktok.com/@blacktiph/video/6889505327650196742,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,英文为主,,31100000
https://www.tiktok.com/@elestepariosiberiano/video/7276116594856660257,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,英文为主,,25400000
https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,热贡艺术,B,不相关,蹭热门标签,其他,混合,,1800000
https://www.tiktok.com/@blessing_tibetanthangka/video/7491338711561440554,热贡艺术,B,不相关,蹭热门标签,其他,英文为主,,622100
https://www.tiktok.com/@tibetanjewelry23/video/7515629845875789086,热贡艺术,B,不相关,蹭热门标签,其他,英文为主,,479700
https://www.tiktok.com/@pandaaa5669/video/7588039309542935863,热贡艺术,B,不相关,主题无关,中文,混合,,1500000
https://www.tiktok.com/@angelinazhq/video/7636548841428307207,热贡艺术,B,不相关,主题无关,英文,几乎没评论,,656000
https://www.tiktok.com/@rehome.life/video/7589872995724774670,热贡艺术,B,不相关,主题无关,英文,几乎没评论,,119400000
https://www.tiktok.com/@us_queen1/video/7610445641541504286,热贡艺术,B,不相关,主题无关,其他,英文为主,,54500000
https://www.tiktok.com/@ariathome/video/7611331444446645534,热贡艺术,B,不相关,蹭热门标签,英文,英文为主,,11300000
https://www.tiktok.com/@tangyuxi0801/video/7521170337237568798,热贡艺术,B,不相关,主题无关,中文,评论中文为主,,9800000
https://www.tiktok.com/@kgarnebro/video/7612092179355389215,热贡艺术,B,不相关,主题无关,英文,英文为主,,8600000
https://www.tiktok.com/@kairareo/video/7581817395174477074,藏戏,B,不相关,主题无关,其他,几乎没评论,,906900
https://www.tiktok.com/@sisanbaniya/video/7512446896267447559,藏戏,B,不相关,蹭热门标签,其他,几乎没评论,,644600
https://www.tiktok.com/@tklhamo/video/7159477903598701867,藏戏,B,不相关,主题无关,中文,几乎没评论,,241300
https://www.tiktok.com/@pizza.55555/video/7496793604933946679,藏戏,B,不相关,主题无关,中文,评论中文为主,,28200000
