project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,auto_label_likely_relevant_rows,auto_label_needs_review_rows,auto_label_low_relevance_rows,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,1032,156,343,1032,156,343,2,0,0,2,0,1343,1785863950,138900,1329757,714700,2700000,6490000,21086000,71900000,1173,998,726,273,2,160690720,1303569,17899626,7700000,135700,3500000,7614151831207398670,https://www.tiktok.com/@cnn/video/7614151831207398670,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House.",900,1190216794,198700,1322463,850475,3010000,6915000,20117000,37300000,813,713,543,205,1,114703206,814930,8946024,3600000,39300,455700,7608687823369047310,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,1015,1275828452,175300,1256974,803500,2860000,6500000,18102000,37300000,907,786,592,222,1,120592336,868651,9560837,3600000,39300,455700,7608687823369047310,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,328,510035498,44900,1554986,367225,2100000,5005000,48727000,71900000,266,212,134,51,1,40098384,434918,8338789,7700000,135700,3500000,7614151831207398670,https://www.tiktok.com/@cnn/video/7614151831207398670,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House.",0.6701,0.7558,0.2442,0.6665,0.7144,0.2856,medium,top_20pct_reach,7.479932,top_20pct_reach,7.358298,top_20pct_reach,7.363194,False,0
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,640,282,673,640,282,673,1,0,0,1,0,1206,587708589,19550,487321,207325,986800,2300000,8380000,32800000,946,680,419,120,2,34954999,285437,3974789,2200000,26700,869000,7566599130772983054,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友 ,473,143086500,7499,302508,124000,808560,1700000,3840000,14500000,351,225,123,40,0,10232518,67093,525706,973400,3465,101000,7569553905730768142,https://www.tiktok.com/@tk25145156z/video/7569553905730768142,中国茶道知多少？让南方小牛牛给你们展示下吧#召唤茶友 #传统文化 #中国功夫茶 #茶文化茶生活以茶會友 ,645,242434553,11700,375868,145400,785960,1800000,5672000,24300000,491,333,190,54,0,17711572,104824,1645843,1600000,5055,869000,7635616535716859157,https://www.tiktok.com/@china.tea86/video/7635616535716859157,注意，我要发射了！你今天喝茶了吗？#茶叶 #茶玩 #茶叶文化 #喝茶 #今天你喝茶了吗 ,564,348247136,39250,617459,313725,1340000,2900000,10422000,32800000,458,350,232,67,2,17691741,182506,2360175,2200000,26700,305400,7566599130772983054,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友 ,0.3922,0.5348,0.4677,0.2435,0.4125,0.5926,high,middle_40_70pct_reach,7.061311,high_20_40pct_reach,6.676733,high_20_40pct_reach,6.829178,True,1
3,太极拳,Taijiquan,RL,传统体育/养生,427,109,80,427,110,79,1,0,0,1,1,525,346462690,50800,659929,397900,1500000,2380000,8976000,39800000,463,341,227,75,0,18789132,268638,1656600,3000000,31600,317800,7647935446462254367,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,"Kung fu shapes body, discipline shapes soul. #Training #kungfu ",377,248769168,85700,659865,516800,1500000,2420000,8924000,33400000,340,262,183,61,0,11497577,165087,878065,1200000,9825,78400,7555853013085130002,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,451,265380166,51800,588426,429250,1500000,2150000,8100000,33400000,405,299,198,65,0,13125924,185717,1029081,1200000,11000,98100,7555853013085130002,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,74,81082524,42150,1095710,340200,1870000,4135000,18630000,39800000,58,42,29,10,0,5663208,82921,627519,3000000,31600,317800,7647935446462254367,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,"Kung fu shapes body, discipline shapes soul. #Training #kungfu ",0.7181,0.859,0.141,0.718,0.766,0.234,low,middle_40_70pct_reach,6.976452,top_20pct_reach,6.904095,high_20_40pct_reach,6.899342,True,2
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,145,146,605,148,148,600,10,0,0,10,5,874,324028879,16400,370742,134675,600300,1800000,6781000,20300000,640,481,248,63,93,17999849,177468,1016549,1800000,10500,104700,7617709236507675924,https://www.tiktok.com/@khat_019/video/7617709236507675924,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้  #อย่าปิดการมองเห็น  #รําวงเพชรบุรี  #มือคีย์บอดที่ชื่อสุดเขตอะ ,142,20773209,3040,146290,22850,120050,309100,3295000,5700000,87,58,16,6,0,941620,15879,81301,309400,4496,25900,7279994056485145863,https://www.tiktok.com/@longchunchun/video/7279994056485145863,Thích cái cách mà cô ấy phá tài sản để mè nheo những tài sản mới 😂 #longchun #tunpham,284,27512122,759,96874,20750,111800,315720,2170000,5700000,132,92,31,7,92,1059368,21223,94337,309400,4496,25900,7279994056485145863,https://www.tiktok.com/@longchunchun/video/7279994056485145863,Thích cái cách mà cô ấy phá tài sản để mè nheo những tài sản mới 😂 #longchun #tunpham,590,296516757,40650,502571,219900,926760,2355000,8388000,20300000,508,389,217,56,1,16940481,156245,922212,1800000,10500,104700,7617709236507675924,https://www.tiktok.com/@khat_019/video/7617709236507675924,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้  #อย่าปิดการมองเห็น  #รําวงเพชรบุรี  #มือคีย์บอดที่ชื่อสุดเขตอะ ,0.1625,0.3249,0.6751,0.0641,0.0849,0.9151,high,bottom_10pct_reach,6.869169,middle_40_70pct_reach,5.956881,lower_70_90pct_reach,6.03028,True,2
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,126,43,588,128,45,584,11,1,0,10,4,746,306313629,22800,410608,164375,841400,1800000,6195000,38400000,557,417,241,66,1,21538478,248105,2217911,1700000,21600,362200,7058758162630872322,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,#сафарова #питер,121,1011447,733,8359,3146,16000,44700,114060,282900,45,13,2,0,0,29044,755,2486,9136,74,355,7126331545304059137,https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,This ancient tibetan medicine massage helped me with my insomnia 💆‍♀️ #asmr #massage #tibetanmassage #headmassage #insomnia,163,3875145,939,23774,8644,55380,158100,337658,517700,78,38,11,0,0,130563,5172,11637,37300,986,1909,7578691302678596882,https://www.tiktok.com/@maimaii02112005/video/7578691302678596882,发明李健唱探故知的真是个天才！#探故知 #音乐分享 #chinamusic #418937181nt ,583,302438484,47100,518762,262400,1200000,2200000,7352000,38400000,479,379,230,66,1,21407915,242933,2206274,1700000,21600,362200,7058758162630872322,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,#сафарова #питер,0.1622,0.2185,0.7815,0.0033,0.0127,0.9873,high,lower_70_90pct_reach,6.914751,bottom_10pct_reach,4.86738,bottom_10pct_reach,5.376262,True,-1
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,200,60,623,203,63,617,11,0,0,11,6,849,348781807,16900,410815,154800,713200,2060000,5708000,38700000,634,468,247,68,1,18770913,252699,1343578,3100000,26400,164300,7629582028886789406,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,... #real #atmosphere #apathy #nature #vibes ,188,22500849,1181,119685,25000,303600,730350,2026000,2300000,96,55,31,7,0,700062,35586,23880,272100,23000,2907,7615588769760038165,https://www.tiktok.com/@zeianz/video/7615588769760038165,Year of the Goat/Sheep !!  🐐 🐑 #chinesecalendar #chinesezodiac #trending #fypp #xybzca ib : @Loveclouds,242,33048595,1934,136564,51025,360570,717090,2118000,3100000,137,90,48,9,0,1261655,44258,54223,272100,23000,7929,7595094691780005128,https://www.tiktok.com/@angelinazhq/video/7595094691780005128,traditional Chinese x rnb music >>> #烟花易冷 #singing #cover #jaychou ,607,315733212,27900,520154,178500,919180,2440000,6752000,38700000,497,378,199,59,1,17509258,208441,1289355,3100000,26400,164300,7629582028886789406,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,... #real #atmosphere #apathy #nature #vibes ,0.2214,0.285,0.715,0.0645,0.0948,0.9052,high,lower_70_90pct_reach,6.956735,middle_40_70pct_reach,6.048366,lower_70_90pct_reach,6.148447,True,1
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,216,43,386,220,45,380,9,0,0,9,6,618,507482849,28100,821170,299200,1530000,3415000,19511000,51000000,480,371,222,84,2,25139881,251847,1620110,1700000,25800,185500,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,214,169744719,80300,793200,730850,2340000,4305000,8279000,12800000,178,148,101,46,0,9927788,78809,447088,1100000,8473,45900,7482392760788602167,https://www.tiktok.com/@sabrinakanashiro/video/7482392760788602167,Multiplicação no Soroban ✖️🧮 #soroban #abaco #matematica #math #mathematics #calculomental #abacus #fyp #garotasapoiamgarotas #viral_video #viralvideos ,247,175116582,66600,708974,613700,1700000,3470000,7718000,12800000,202,166,110,47,0,10131690,83154,465176,1100000,8473,45900,7482392760788602167,https://www.tiktok.com/@sabrinakanashiro/video/7482392760788602167,Multiplicação no Soroban ✖️🧮 #soroban #abaco #matematica #math #mathematics #calculomental #abacus #fyp #garotasapoiamgarotas #viral_video #viralvideos ,371,332366267,18500,895866,176850,948900,3300000,22460000,51000000,278,205,112,37,2,15008191,168693,1154934,1700000,25800,185500,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,0.3463,0.3997,0.6003,0.3345,0.3451,0.6549,high,middle_40_70pct_reach,7.109929,high_20_40pct_reach,6.824621,high_20_40pct_reach,6.800254,True,1
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),66,80,758,66,85,753,13,3,0,10,7,865,623321342,39800,720603,269900,1200000,2980000,10616000,62900000,703,552,339,97,1,47041781,323317,4819378,11000000,48500,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,59,589865,736,9998,1399,4868,25960,197902,425900,18,5,1,0,0,5744,72,261,1691,10,53,7614505628744043832,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,🖐️Discover #Fujian's intangible cultural heritage: the #Budaixi glove puppet show! A master with 20 years of performing experience shows his amazing finger skills. Melinda and Arun tried it and had lots of fun! It truly ,122,28581463,2397,234274,130950,622310,1295000,3079000,3400000,71,47,32,8,0,2106217,16814,60356,333500,4280,11100,7620560599629532437,https://www.tiktok.com/@diana_atarnya_wr/video/7620560599629532437,[THAISUB/PINYIN+คำอ่าน] ไม่มีวันหวนคืน X ความทรงจำเก้าสกุล 莫问归期 X 辞九门回忆 Remix Version ประกาศแจ้งให้ทราบ ณ ที่นี่ ใครที่จะนำคลิปวิดีโอ คำแปล คำอ่านไทย ของช่องนี้ไป ต้องมีการขออนุญาตก่อน หรือถ้าไม่สะดวกจะมาขออนุญาตก่อน ก็ข,743,594739879,52000,800457,290100,1300000,3270000,11174000,62900000,632,505,307,89,1,44935564,306503,4759022,11000000,48500,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,0.0682,0.141,0.859,0.0009,0.0459,0.9541,high,middle_40_70pct_reach,7.157003,bottom_10pct_reach,4.720741,middle_40_70pct_reach,6.207071,True,-2
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,60,38,561,63,40,556,10,0,0,10,5,656,317137967,44700,483442,259250,843550,1850000,8890000,22000000,547,425,256,60,0,21659356,259376,3088447,2200000,34300,1200000,7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face.  So many people put their trust in you, only to let them down.",59,8230401,54700,139498,159950,438500,627450,707318,749600,45,34,21,0,0,916835,5389,42627,136000,1000,9749,7568091124795985160,https://www.tiktok.com/@zhezhehe/video/7568091124795985160,With @cigwpols  #xuhuong #viral #theapothecarydiaries ,96,10758489,33700,112068,137150,377200,586525,680345,749600,76,56,30,0,0,1028603,7433,48243,136000,1000,9749,7568091124795985160,https://www.tiktok.com/@zhezhehe/video/7568091124795985160,With @cigwpols  #xuhuong #viral #theapothecarydiaries ,560,306379478,46750,547106,296500,1000000,2405000,9451000,22000000,471,369,226,60,0,20630753,251943,3040204,2200000,34300,1200000,7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face.  So many people put their trust in you, only to let them down.",0.0899,0.1463,0.8537,0.026,0.0339,0.9661,high,bottom_10pct_reach,6.878425,lower_70_90pct_reach,5.758759,lower_70_90pct_reach,5.804116,True,1
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,192,104,516,191,107,514,14,6,0,8,3,728,814114302,31650,1118289,339000,2100000,4365000,24296000,62900000,574,452,289,109,0,45821026,402537,5084294,11000000,66700,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,163,13264017,1083,81374,16300,83180,257620,1794000,3300000,84,45,15,3,0,390279,5539,17899,84500,1187,5280,7017719800428285185,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,239,38508469,2664,161123,37350,322780,890900,2724000,5700000,145,92,42,10,0,1934871,19143,161523,362700,1712,49300,7289237537472793857,https://www.tiktok.com/@wwi722111922/video/7289237537472793857,苗族传统工艺《蜡染》,489,775605833,101800,1586106,625700,3000000,7160000,29400000,62900000,429,360,247,99,0,43886155,383394,4922771,11000000,66700,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,0.2239,0.3283,0.6717,0.0163,0.0473,0.9527,high,high_20_40pct_reach,7.248704,lower_70_90pct_reach,5.810895,middle_40_70pct_reach,6.251907,True,-2
